DATE,PRODCD,TYPE,PRICE
2024-05-06,B027,High_grade_Gasolin,1712.71
2024-05-06,B034,Normal_Gasolin,1951.42
2024-05-06,C004,kerosene,1367.55
2024-05-06,D047,Diesel,1562.47
2024-05-06,K015,butane,970.49
2024-05-07,B027,High_grade_Gasolin,1712.2
2024-05-07,B034,Normal_Gasolin,1953.2
2024-05-07,C004,kerosene,1367.38
2024-05-07,D047,Diesel,1561.64
2024-05-07,K015,butane,970.34
2024-05-08,B027,High_grade_Gasolin,1711.12
2024-05-08,B034,Normal_Gasolin,1951.91
2024-05-08,C004,kerosene,1367.36
2024-05-08,D047,Diesel,1559.69
2024-05-08,K015,butane,969.89
2024-05-09,B027,High_grade_Gasolin,1709.94
2024-05-09,B034,Normal_Gasolin,1951.58
2024-05-09,C004,kerosene,1366.98
2024-05-09,D047,Diesel,1557.31
2024-05-09,K015,butane,969.91
2024-05-10,B027,High_grade_Gasolin,1708.38
2024-05-10,B034,Normal_Gasolin,1950.46
2024-05-10,C004,kerosene,1366.4
2024-05-10,D047,Diesel,1555.02
2024-05-10,K015,butane,969.9
2024-05-11,B027,High_grade_Gasolin,1706.8
2024-05-11,B034,Normal_Gasolin,1946.78
2024-05-11,C004,kerosene,1366.28
2024-05-11,D047,Diesel,1552.59
2024-05-11,K015,butane,969.88
2024-05-12,B027,High_grade_Gasolin,1706.13
2024-05-12,B034,Normal_Gasolin,1946.47
2024-05-12,C004,kerosene,1365.95
2024-05-12,D047,Diesel,1551.45
2024-05-12,K015,butane,969.86
