Code,SIDO,Price,Latitude,Longitude,ISO_Code
01,서울,1771.27,37.5665,126.978,KR-11
02,경기,1706.81,37.4138,127.5183,KR-41
03,강원,1719.37,37.8228,128.1555,KR-42
04,충북,1712.55,36.8001,127.7996,KR-43
05,충남,1708.46,36.3482,126.8289,KR-44
06,전북,1696.70,35.7175,127.153,KR-45
07,전남,1709.10,34.8679,126.991,KR-46
08,경북,1691.23,36.5763,128.5055,KR-47
09,경남,1689.27,35.4606,128.2132,KR-48
10,부산,1676.32,35.1796,129.0756,KR-26
11,제주,1708.79,33.4996,126.5312,KR-49
14,대구,1670.71,35.8714,128.6014,KR-27
15,인천,1691.37,37.4563,126.7052,KR-28
16,광주,1688.82,35.1595,126.8526,KR-29
17,대전,1697.04,36.3504,127.3845,KR-30
18,울산,1666.34,35.5384,129.3114,KR-31
19,세종,1700.46,36.4801,127.2882,KR-50
