UNI_ID,PRICE,POLL_DIV_CO,OS_NM,VAN_ADR,NEW_ADR,GIS_X_COOR,GIS_Y_COOR,AREA_NM
A0000686,1644,HDO,(주)디오티디 은평유니콘주유소,서울 은평구 진관동 73-22,서울 은평구 통일로 1151 (진관동),304199.00000,560741.00000,서울
A0000827,1645,RTO,신성주유소,서울 구로구 구로본동461-13,서울 구로구 구로동로 187 (구로제2동),301368.50000,544253.80000,서울
A0000856,1645,SOL,씨앤에스유통(주) 구로드림주유소,서울 구로구 온수동 35-3,서울 구로구 경인로 41 (온수동),296439.00000,543853.00000,서울
A0000519,1646,RTO,화곡역주유소,서울 강서구 화곡동 1076-14,서울 강서구 강서로 154 (화곡동),297830.02778,549333.51356,서울
A0000978,1648,GSC,플라트(주)서호주유소,서울 양천구 신월동 52-1,서울 양천구 남부순환로 317,296517.01008,549138.09694,서울
A0000549,1648,HDO,이케이에너지(주) 강서주유소,서울 강서구 화곡동 983-1,서울 강서구 화곡로 273 (화곡동),298318.03900,550276.26480,서울
A0000981,1648,SKE,가로공원주유소,서울 양천구 신월동 87-15,서울 양천구 가로공원로 165 (신월동),297172.00000,548950.00000,서울
A0001005,1648,SOL,현대주유소,서울 양천구 신월동 167-1,서울 양천구 남부순환로 372 (신월동),296738.35070,548590.85610,서울
A0000854,1649,HDO,(주)서울에너지 궁동주유소,서울 구로구 궁동 283-2,서울 구로구 오리로 1299 (궁동),296660.57753,544561.95333,서울
A0000520,1649,SOL,하이웨이주유소,서울특별시 강서구 화곡동 1125,서울특별시 강서구 공항대로 432(화곡동),299017.76990,550893.57210,서울
A0000818,1649,SKE,서서울고속주유소,서울 구로구 오류동 77-10,서울 구로구 경인로 150 (오류동),297476.30000,544094.50000,서울
A0032712,1649,HDO,개봉주유소,서울 구로구 개봉동 92-4,서울 구로구 고척로 115 (개봉동),298236.72930,545036.20980,서울
A0000812,1649,GSC,지에스칼텍스㈜ 개봉동주유소,서울 구로구 개봉동 226-1,서울 구로구 경인로 290,298709.96020,544564.90940,서울
A0006667,1649,HDO,㈜자연에너지 고척주유소,서울 구로구 고척동 167-32,서울 구로구 고척로 199 (고척동),298992.68260,545393.86900,서울
A0000992,1653,GSC,신월주유소,서울 양천구 신월동 534-24,서울 양천구 신월로 193 (신월동),298014.58083,547054.30697,서울
A0009492,1659,HDO,이케이에너지(주) 강산제2주유소,서울 성북구 정릉4동 401-15,서울 성북구 보국문로 52,312789.00000,556780.00000,서울
A0009361,1659,SOL,(주)서울에너지 직영,서울 성동구 용답동 5-4,서울 성동구 천호대로 324 (용답동),316765.22660,551755.53699,서울
A0009507,1659,GSC,(주)삼표에너지 정릉주유소,서울 성북구 정릉동 404-4,서울 성북구 보국문로 35 (정릉동),312783.48730,556619.63530,서울
A0001257,1660,GSC,이케이에너지㈜ 강산주유소,서울 성북구 보문동7가 137,서울 성북구 보문로 27 (보문동7가),313874.79321,553300.33345,서울
A0000725,1663,HDO,불광주유소,서울 은평구 불광동 105-118,서울 은평구 연서로 314 (불광동),305558.71720,558416.00160,서울
A0002694,1610,RTO,전국배달 현명주유소,경기 화성시 비봉면 구포리 967-16,경기 화성시 비봉면 양노로 155,300601.02780,515769.79270,경기
A0004617,1614,SOL,회천주유소,경기 양주시 덕계동 505-1,경기 양주시 평화로 1505 (덕계동),316612.11450,580632.76640,경기
A0007536,1614,HDO,드림에너지(주)배트맨주유소,경기 수원시 장안구 영화동 66-3,경기 수원시 장안구 경수대로 818,313036.00000,521906.00000,경기
A0006122,1614,HDO,(주)원흥 양주지점,경기 양주시 산북동 198-3,경기 양주시 평화로 1107 (산북동),316375.49810,576840.09580,경기
A0005034,1614,SOL,대박주유소,경기 양주시 덕계동 711-4,경기 양주시 평화로 1381,316182.00000,579513.00000,경기
A0004417,1614,ETC,KH에너지(주)직영 대복주유소,경기 양주시 광사동 401,경기 양주시 부흥로 1807,318243.00000,576398.00000,경기
A0002506,1615,HDO,대신self주유소,경기 수원시 장안구 송죽동 440-4,경기 수원시 장안구  경수대로 1011,311624.00000,523160.00000,경기
A0002511,1618,SKE,경진셀프주유소,경기 수원시 장안구 파장동 585-4,경기 수원시 장안구 경수대로 1059,311212.00293,523376.99537,경기
A0007227,1624,SKE,주식회사 노송유업,경기 수원시 장안구 이목동 259,경기 수원시 장안구 서부로 2359 (이목동),309975.23020,524326.48730,경기
A0005288,1624,GSC,항공대주유소,경기 고양시 덕양구 화전동 575-6,경기 고양시 덕양구  중앙로 171 (화전동),300400.10000,556235.90000,경기
A0007482,1624,HDO,북수원주유소,경기 수원시 장안구 율전동 114-3,경기 수원시 장안구 서부로 2201 (율전동),309096.00000,523024.00000,경기
A0005463,1624,HDO,(주)원흥 원흥동지점,경기 고양시 덕양구 원흥동 367,경기 고양시 덕양구 서오릉로 712 (원흥동),300064.65860,560361.09420,경기
A0005163,1624,SOL,너멍골주유소,경기 고양시 덕양구 신원동 437-4,경기 고양시 덕양구 호국로 1259,301060.60000,564428.40000,경기
A0005555,1624,HDO,(주)원흥 고양동지점,경기 고양시 덕양구 고양동 590,경기 고양시 덕양구 호국로 1789,303780.00298,568143.99533,경기
A0005360,1624,HDO,(주)원흥.벽제동지점,경기 고양시 덕양구 벽제동 245-1,경기 고양시 덕양구 호국로 1664,303499.00000,566902.00000,경기
A0032941,1624,RTO,(주)어울림주유소,경기 고양시 덕양구 화정동 188-20,경기 고양시 덕양구 충장로 407,297812.62398,561395.05611,경기
A0005181,1624,RTO,덕양주유소,경기 고양시 덕양구 행신동 942,경기 고양시 덕양구 충장로 142 (행신동),297398.50000,558709.50000,경기
A0005300,1624,SKE,중앙로주유소,경기 고양시 덕양구 화전동 175-1,경기 고양시 덕양구 중앙로 113 (화전동),300756.00000,555752.00000,경기
A0005436,1624,RTO,덕양제7주유소,경기 고양시 일산동구 풍동 655-1,경기 고양시 일산동구 무궁화로 250 (풍동),293291.30000,564140.40000,경기
A0005556,1624,HDO,㈜자연에너지 산유주유소,경기 고양시 덕양구 화전동 174-8,경기 고양시 덕양구 중앙로 107,300770.62141,555713.21979,경기
A0011171,1632,RTX,문막(인천방향)주유소,강원 원주시 문막읍 포진리 926-1,강원도 원주시 문막읍 개나루길 13,384001.44850,521697.18839,강원
A0011779,1639,HDO,(주)미파랑 오일뱅크,강원 속초시 조양동 1534-1,강원 속초시 동해대로 4043 (조양동),452089.58810,620879.42170,강원
A0011396,1646,SOL,회산주유소,강원 강릉시 회산동 234-1,강원 강릉시 관솔길 27 (회산동),476869.09130,571111.10210,강원
A0011488,1648,RTO,솔향주유소,강원 강릉시 홍제동 757-1,강원 강릉시 공제로437번길 1 (홍제동),476659.00000,571877.00000,강원
A0011555,1649,RTX,KIS정보통신㈜강릉(인천방향)주유소,강원 강릉시 성산면 보광리 139,강원 강릉시 영동고속도로 231-1,471027.03624,573205.21596,강원
A0011170,1649,RTX,문막(하)주유소/충전소,강원 원주시 문막읍 동화리 116,강원 원주시 문막읍 원문로 1234-1,387671.50041,526076.59331,강원
A0033184,1649,RTX,키다리식품(주) 홍천양양주유소/충전소,강원 홍천군 화촌면 군업리 산240-5,강원 홍천군 화촌면 서울양양고속도로 84-1,400660.70309,572809.12084,강원
A0011166,1649,RTX,(주)대현유통 횡성(인천방향)주유소,강원 횡성군 안흥면 소사리 1512-4,강원 횡성군 안흥면 영동고속도로 153-1,412026.28760,540338.61511,강원
A0033193,1649,RTX,내린천(서울방향)주유소/충전소,강원 인제군 상남면 하남리 333-2,강원 인제군 상남면 서울양양고속도로 117,425370.50996,590565.27678,강원
A0011554,1649,RTX,KIS정보통신㈜강릉(강릉방향)주유소,강원 강릉시 성산면 보광리 120,강원 강릉시 성산면 영동고속도로 232-1,471325.06703,573198.62609,강원
A0033192,1649,RTX,내린천(양양방향)주유소/충전소,강원 인제군 상남면 하남리 375-4,강원 인제군 상남면 서울양양고속도로 117,425547.10848,590575.33967,강원
A0033185,1649,RTX,키다리식품(주)홍천서울주유소/충전소,강원 홍천군 화촌면 군업리 산244-4,강원 홍천군 화촌면 서울양양고속도로 83-1,400675.26435,572913.06970,강원
A0010217,1649,RTX,구정(동해)주유소,강원 강릉시 구정면 제비리 888,강원 강릉시 구정면 동해고속도로 345-1,475380.79228,569152.32137,강원
A0011581,1652,RTX,구정(속초방향)주유소,강원 강릉시 구정면 제비리 608-1,강원 강릉시 구정면 동해고속도로 346,475381.00000,569374.00000,강원
A0010851,1655,RTX,(주)선인상사 홍천강(춘천방향)주유소/충전소,강원 홍천군 북방면 소매곡리 294,강원 홍천군 북방면 도사곡길 223,385000.70000,567806.30000,강원
A0011367,1658,RTX,평창(서창)주유소/충전소,강원 평창군 용평면 이목정리 476-4,강원 평창군 용평면 탑거리길 63,441073.33411,556497.29586,강원
A0011188,1658,RTX,씨앤에스에너지(주) 횡성(하)주유소/충전소,강원 횡성군 안흥면 소사리 1537-1,강원 횡성군 안흥면 영동고속도로 154-1,412225.00000,540145.00000,강원
A0011366,1658,RTX,평창(강릉방향)주유소/충전소,강원 평창군 용평면 이목정리  778-2,강원 평창군 용평면 경강로 2159-58,440291.07483,556040.74876,강원
A0011135,1659,SOL,(주)디오티디 원주베짱이주유소,강원 원주시 문막읍 동화리 520,강원 원주시 문막읍 원문로 1449,386329.00000,524801.00000,강원
A0010427,1659,RTO,호원주유소 춘천지점,강원 춘천시 서면 안보리 636-1,강원 춘천시 서면 경춘로 583-3,362845.30307,581833.99541,강원
