"자동차등록용도별(1)","차종별(1)","규모별(1)","시점",합계,휘발유,경유,LPG,전기,하이브리드,CNG,기타
"자동차등록용도별(1)","차종별(1)","규모별(1)","시점",검사대수 (대),검사대수 (대),검사대수 (대),검사대수 (대),검사대수 (대),검사대수 (대),검사대수 (대),검사대수 (대)
"전체","합계","합계","2013",9832422,3371935,5163871,1221311,20,9244,43193,22848
"전체","합계","합계","2014",9950827,3405900,5279822,1184065,150,12177,47196,21517
"전체","합계","합계","2015",10560419,3726437,5560108,1173203,517,28354,46670,25130
"전체","합계","합계","2016",10785648,3717419,5794475,1154904,1125,47466,45845,24414
"전체","합계","합계","2017",11210264,3924232,6037777,1118848,1256,55953,43645,28553
"전체","합계","합계","2018",11501315,3922810,6342854,1081133,3119,80705,41684,29010
"전체","합계","합계","2019",11797868,4116818,6459731,1053773,7756,94641,31697,33452
"전체","합계","합계","2020",12171733,4259854,6619415,1062714,15181,147828,30751,35990
"전체","합계","합계","2021",12594603,4497578,6762401,1033852,41650,186995,31390,40737
"전체","합계","합계","2022",12888207,4616765,6820892,1035731,88882,253416,29228,43293
