구분,고급휘발유,보통휘발유,자동차용경유,실내등유
20230516,1888.36,1627.13,1468.11,1378.97
20230517,1886.64,1623.64,1462.36,1377.11
20230518,1884.96,1620.70,1457.55,1375.24
20230519,1882.09,1617.20,1452.05,1372.48
20230520,1879.02,1614.67,1448.03,1369.91
20230521,1878.45,1613.79,1446.11,1368.44
20230522,1878.89,1611.88,1443.05,1366.58
20230523,1877.29,1609.41,1438.80,1364.95
20230524,1876.28,1607.22,1435.21,1363.53
20230525,1875.06,1605.29,1431.79,1362.17
20230526,1873.98,1603.52,1429.02,1360.12
20230527,1871.05,1601.70,1425.82,1358.57
20230528,1870.69,1601.16,1424.71,1357.36
20230529,1871.36,1600.67,1423.87,1356.53
20230530,1870.89,1599.59,1422.28,1355.29
20230531,1870.44,1598.10,1420.03,1354.00
20230601,1868.23,1595.29,1415.52,1352.22
20230602,1866.43,1593.28,1412.71,1350.64
20230603,1863.11,1591.23,1409.89,1348.92
20230604,1862.51,1590.68,1408.66,1347.60
20230605,1863.98,1590.06,1407.99,1346.99
20230606,1863.69,1589.04,1406.22,1345.89
20230607,1863.64,1588.04,1404.82,1344.85
20230608,1862.36,1586.75,1402.80,1343.51
20230609,1861.50,1585.82,1401.31,1342.10
20230610,1859.83,1584.79,1399.69,1340.75
20230611,1859.65,1584.46,1398.96,1339.41
20230612,1860.52,1583.99,1398.40,1338.98
20230613,1859.77,1582.58,1396.52,1338.06
20230614,1858.71,1581.01,1394.46,1337.23
20230615,1857.58,1579.85,1392.98,1336.64
20230616,1856.03,1578.45,1391.28,1335.24
20230617,1854.54,1577.61,1389.86,1333.82
20230618,1854.29,1577.33,1389.19,1332.87
20230619,1854.82,1576.80,1388.98,1332.54
20230620,1854.03,1575.72,1387.72,1330.92
20230621,1853.32,1574.90,1386.45,1329.98
20230622,1852.82,1574.15,1385.70,1329.23
20230623,1852.44,1573.52,1385.12,1328.29
20230624,1850.87,1572.97,1384.07,1327.36
20230625,1850.44,1572.75,1383.65,1326.57
20230626,1851.83,1572.73,1383.50,1326.73
20230627,1851.24,1572.08,1382.90,1325.68
20230628,1851.12,1571.56,1382.11,1324.76
20230629,1850.96,1571.13,1381.56,1323.98
20230630,1850.34,1570.70,1381.17,1323.28
20230701,1848.55,1569.79,1379.99,1322.21
20230702,1848.49,1569.52,1379.44,1321.56
20230703,1848.96,1569.43,1379.61,1321.11
20230704,1848.94,1569.16,1379.09,1320.66
20230705,1848.45,1569.00,1378.91,1320.69
20230706,1848.21,1568.88,1378.61,1320.09
20230707,1848.15,1569.23,1379.07,1319.40
20230708,1847.42,1569.71,1379.47,1318.62
20230709,1847.51,1570.00,1379.53,1318.09
20230710,1848.73,1571.07,1380.74,1317.85
20230711,1849.17,1572.03,1381.71,1316.89
20230712,1849.98,1573.08,1383.34,1316.78
20230713,1850.48,1574.55,1384.80,1316.20
20230714,1851.43,1576.89,1387.20,1316.78
20230715,1851.13,1578.77,1389.39,1316.29
20230716,1851.60,1579.82,1390.35,1316.41
20230717,1853.20,1581.74,1392.71,1316.66
20230718,1855.38,1583.72,1394.77,1316.50
20230719,1857.15,1585.45,1396.95,1316.55
20230720,1857.63,1587.55,1399.58,1316.04
20230721,1858.51,1589.76,1402.10,1315.60
