구분,고급휘발유,보통휘발유,자동차용경유,실내등유
2023년05월15일,1892.06,1631.17,1475.17,1381.05
2023년05월16일,1888.36,1627.13,1468.11,1378.97
2023년05월17일,1886.64,1623.64,1462.36,1377.11
2023년05월18일,1884.96,1620.70,1457.55,1375.24
2023년05월19일,1882.09,1617.20,1452.05,1372.48
2023년05월20일,1879.02,1614.67,1448.03,1369.91
2023년05월21일,1878.45,1613.79,1446.11,1368.44
2023년05월22일,1878.89,1611.88,1443.05,1366.58
2023년05월23일,1877.29,1609.41,1438.80,1364.95
2023년05월24일,1876.28,1607.22,1435.21,1363.53
2023년05월25일,1875.06,1605.29,1431.79,1362.17
2023년05월26일,1873.98,1603.52,1429.02,1360.12
2023년05월27일,1871.05,1601.70,1425.82,1358.57
2023년05월28일,1870.69,1601.16,1424.71,1357.36
2023년05월29일,1871.36,1600.67,1423.87,1356.53
2023년05월30일,1870.89,1599.59,1422.28,1355.29
2023년05월31일,1870.44,1598.10,1420.03,1354.00
2023년06월01일,1868.23,1595.29,1415.52,1352.22
2023년06월02일,1866.43,1593.28,1412.71,1350.64
2023년06월03일,1863.11,1591.23,1409.89,1348.92
2023년06월04일,1862.51,1590.68,1408.66,1347.60
2023년06월05일,1863.98,1590.06,1407.99,1346.99
2023년06월06일,1863.69,1589.04,1406.22,1345.89
2023년06월07일,1863.64,1588.04,1404.82,1344.85
2023년06월08일,1862.36,1586.75,1402.80,1343.51
2023년06월09일,1861.50,1585.82,1401.31,1342.10
2023년06월10일,1859.83,1584.79,1399.69,1340.75
2023년06월11일,1859.65,1584.46,1398.96,1339.41
2023년06월12일,1860.52,1583.99,1398.40,1338.98
2023년06월13일,1859.77,1582.58,1396.52,1338.06
2023년06월14일,1858.71,1581.01,1394.46,1337.23
2023년06월15일,1857.58,1579.85,1392.98,1336.64
2023년06월16일,1856.03,1578.45,1391.28,1335.24
2023년06월17일,1854.54,1577.61,1389.86,1333.82
2023년06월18일,1854.29,1577.33,1389.19,1332.87
2023년06월19일,1854.82,1576.80,1388.98,1332.54
2023년06월20일,1854.03,1575.72,1387.72,1330.92
2023년06월21일,1853.32,1574.90,1386.45,1329.98
2023년06월22일,1852.82,1574.15,1385.70,1329.23
2023년06월23일,1852.44,1573.52,1385.12,1328.29
2023년06월24일,1850.87,1572.97,1384.07,1327.36
2023년06월25일,1850.44,1572.75,1383.65,1326.57
2023년06월26일,1851.83,1572.73,1383.50,1326.73
2023년06월27일,1851.24,1572.08,1382.90,1325.68
2023년06월28일,1851.12,1571.56,1382.11,1324.76
2023년06월29일,1850.96,1571.13,1381.56,1323.98
2023년06월30일,1850.34,1570.70,1381.17,1323.28
2023년07월01일,1848.55,1569.79,1379.99,1322.21
2023년07월02일,1848.49,1569.52,1379.44,1321.56
2023년07월03일,1848.96,1569.43,1379.61,1321.11
2023년07월04일,1848.94,1569.16,1379.09,1320.66
2023년07월05일,1848.45,1569.00,1378.91,1320.69
2023년07월06일,1848.21,1568.88,1378.61,1320.09
2023년07월07일,1848.15,1569.23,1379.07,1319.40
2023년07월08일,1847.42,1569.71,1379.47,1318.62
2023년07월09일,1847.51,1570.00,1379.53,1318.09
2023년07월10일,1848.73,1571.07,1380.74,1317.85
2023년07월11일,1849.17,1572.03,1381.71,1316.89
2023년07월12일,1849.98,1573.08,1383.34,1316.78
2023년07월13일,1850.48,1574.55,1384.80,1316.20
2023년07월14일,1851.43,1576.89,1387.20,1316.78
2023년07월15일,1851.13,1578.77,1389.39,1316.29
2023년07월16일,1851.60,1579.82,1390.35,1316.41
2023년07월17일,1853.20,1581.74,1392.71,1316.66
2023년07월18일,1855.38,1583.72,1394.77,1316.50
2023년07월19일,1857.15,1585.45,1396.95,1316.55
2023년07월20일,1857.63,1587.55,1399.58,1316.04
2023년07월21일,1858.51,1589.76,1402.10,1315.60
2023년07월22일,1859.11,1591.77,1403.99,1315.91
2023년07월23일,1859.79,1592.85,1404.85,1316.46
2023년07월24일,1862.55,1595.36,1407.77,1316.51
2023년07월25일,1865.83,1598.62,1411.16,1316.19
2023년07월26일,1868.13,1602.74,1415.32,1316.14
2023년07월27일,1869.90,1607.11,1419.93,1316.08
2023년07월28일,1874.45,1612.76,1425.59,1316.36
2023년07월29일,1880.02,1619.33,1431.45,1316.82
2023년07월30일,1881.78,1622.78,1434.38,1316.48
2023년07월31일,1884.53,1627.38,1439.18,1316.72
2023년08월01일,1894.91,1638.23,1450.36,1317.42
2023년08월02일,1901.36,1647.72,1460.58,1318.11
2023년08월03일,1910.23,1658.01,1472.50,1319.36
2023년08월04일,1916.38,1667.53,1484.58,1320.81
2023년08월05일,1921.81,1676.64,1496.74,1322.18
2023년08월06일,1924.63,1681.14,1502.55,1322.60
2023년08월07일,1928.81,1687.86,1512.45,1323.60
2023년08월08일,1933.80,1696.23,1527.48,1326.46
2023년08월09일,1938.53,1702.56,1539.41,1328.87
2023년08월10일,1941.98,1707.13,1548.16,1329.76
2023년08월11일,1948.06,1712.63,1559.17,1331.72
2023년08월12일,1952.02,1717.67,1568.97,1334.35
2023년08월13일,1954.01,1720.21,1573.66,1335.91
2023년08월14일,1958.53,1724.31,1581.61,1337.75
2023년08월15일,1961.76,1728.56,1589.29,1339.95
2023년08월16일,1964.01,1731.34,1595.50,1341.37
2023년08월17일,1968.27,1734.19,1601.41,1343.68
2023년08월18일,1969.97,1736.09,1606.03,1345.14
2023년08월19일,1970.05,1737.56,1609.58,1346.36
2023년08월20일,1970.61,1738.29,1611.37,1347.01
2023년08월21일,1972.85,1739.72,1614.83,1348.77
2023년08월22일,1974.17,1741.16,1618.29,1350.09
2023년08월23일,1975.94,1742.16,1621.28,1350.83
2023년08월24일,1976.08,1742.59,1622.94,1352.05
2023년08월25일,1977.38,1742.95,1624.63,1353.41
2023년08월26일,1977.47,1743.29,1625.98,1354.81
2023년08월27일,1977.62,1743.57,1626.59,1355.09
2023년08월28일,1979.15,1744.19,1628.23,1355.59
2023년08월29일,1980.14,1745.23,1630.41,1357.19
2023년08월30일,1980.62,1745.65,1631.95,1358.98
2023년08월31일,1981.43,1746.07,1632.95,1360.39
2023년09월01일,1983.51,1747.13,1635.25,1361.36
2023년09월02일,1982.11,1747.70,1636.43,1363.37
2023년09월03일,1982.61,1748.15,1637.07,1363.86
2023년09월04일,1984.10,1748.95,1638.62,1364.35
2023년09월05일,1985.22,1749.90,1640.25,1365.93
2023년09월06일,1986.25,1750.77,1642.31,1367.50
2023년09월07일,1987.17,1752.15,1644.66,1369.10
2023년09월08일,1988.03,1753.64,1646.94,1370.63
2023년09월09일,1987.87,1755.10,1648.81,1372.52
2023년09월10일,1988.33,1756.02,1649.90,1374.06
2023년09월11일,1989.93,1757.58,1652.38,1375.82
2023년09월12일,1992.69,1759.40,1655.12,1377.98
2023년09월13일,1994.20,1761.41,1658.12,1379.98
2023년09월14일,1995.85,1763.46,1660.96,1382.34
2023년09월15일,1997.74,1766.40,1664.78,1385.96
2023년09월16일,1999.12,1769.09,1668.01,1389.14
2023년09월17일,1998.95,1770.28,1669.35,1390.43
2023년09월18일,2001.77,1772.99,1672.87,1393.11
2023년09월19일,2006.11,1776.84,1677.59,1396.47
2023년09월20일,2008.05,1779.75,1680.89,1398.74
2023년09월21일,2009.56,1781.68,1683.28,1401.47
2023년09월22일,2012.13,1783.61,1685.66,1404.70
2023년09월23일,2012.62,1785.21,1687.48,1407.48
2023년09월24일,2013.32,1786.26,1688.56,1408.96
2023년09월25일,2015.21,1788.05,1690.88,1410.62
2023년09월26일,2016.40,1789.63,1692.69,1412.73
2023년09월27일,2018.36,1791.29,1694.80,1414.70
2023년09월28일,2018.89,1793.26,1696.81,1417.26
