date,고급휘발유,보통휘발유,자동차용경유
20230513,1893.15,1635.28,1482.61
20230514,1892.56,1634.13,1480.29
20230515,1892.06,1631.17,1475.17
20230516,1888.36,1627.13,1468.11
20230517,1886.64,1623.64,1462.36
20230518,1884.96,1620.7,1457.55
20230519,1882.09,1617.2,1452.05
20230520,1879.02,1614.67,1448.03
20230521,1878.45,1613.79,1446.11
20230522,1878.89,1611.88,1443.05
20230523,1877.29,1609.41,1438.8
20230524,1876.28,1607.22,1435.21
20230525,1875.06,1605.29,1431.79
20230526,1873.98,1603.52,1429.02
20230527,1871.05,1601.7,1425.82
20230528,1870.69,1601.16,1424.71
20230529,1871.36,1600.67,1423.87
20230530,1870.89,1599.59,1422.28
20230531,1870.44,1598.1,1420.03
20230601,1868.23,1595.29,1415.52
20230602,1866.43,1593.28,1412.71
20230603,1863.11,1591.23,1409.89
20230604,1862.51,1590.68,1408.66
20230605,1863.98,1590.06,1407.99
20230606,1863.69,1589.04,1406.22
20230607,1863.64,1588.04,1404.82
20230608,1862.36,1586.75,1402.8
20230609,1861.5,1585.82,1401.31
20230610,1859.83,1584.79,1399.69
20230611,1859.65,1584.46,1398.96
20230612,1860.52,1583.99,1398.4
20230613,1859.77,1582.58,1396.52
20230614,1858.71,1581.01,1394.46
20230615,1857.58,1579.85,1392.98
20230616,1856.03,1578.45,1391.28
20230617,1854.54,1577.61,1389.86
20230618,1854.29,1577.33,1389.19
20230619,1854.82,1576.8,1388.98
20230620,1854.03,1575.72,1387.72
20230621,1853.32,1574.9,1386.45
20230622,1852.82,1574.15,1385.7
20230623,1852.44,1573.52,1385.12
20230624,1850.87,1572.97,1384.07
20230625,1850.44,1572.75,1383.65
20230626,1851.83,1572.73,1383.5
20230627,1851.24,1572.08,1382.9
20230628,1851.12,1571.56,1382.11
20230629,1850.96,1571.13,1381.56
20230630,1850.34,1570.7,1381.17
20230701,1848.55,1569.79,1379.99
20230702,1848.49,1569.52,1379.44
20230703,1848.96,1569.43,1379.61
20230704,1848.94,1569.16,1379.09
20230705,1848.45,1569,1378.91
20230706,1848.21,1568.88,1378.61
20230707,1848.15,1569.23,1379.07
20230708,1847.42,1569.71,1379.47
20230709,1847.51,1570,1379.53
20230710,1848.73,1571.07,1380.74
20230711,1849.17,1572.03,1381.71
20230712,1849.98,1573.08,1383.34
20230713,1850.48,1574.55,1384.8
20230714,1851.43,1576.89,1387.2
20230715,1851.13,1578.77,1389.39
20230716,1851.6,1579.82,1390.35
20230717,1853.2,1581.74,1392.71
20230718,1855.38,1583.72,1394.77
20230719,1857.15,1585.45,1396.95
20230720,1857.63,1587.55,1399.58
20230721,1858.51,1589.76,1402.1
20230722,1859.11,1591.77,1403.99
20230723,1859.79,1592.85,1404.85
20230724,1862.55,1595.36,1407.77
20230725,1865.83,1598.62,1411.16
20230726,1868.13,1602.74,1415.32
20230727,1869.9,1607.11,1419.93
20230728,1874.45,1612.76,1425.59
20230729,1880.02,1619.33,1431.45
20230730,1881.78,1622.78,1434.38
20230731,1884.53,1627.38,1439.18
20230801,1894.91,1638.23,1450.36
20230802,1901.36,1647.72,1460.58
20230803,1910.23,1658.01,1472.5
20230804,1916.38,1667.53,1484.58
20230805,1921.81,1676.64,1496.74
20230806,1924.63,1681.14,1502.55
20230807,1928.81,1687.86,1512.45
20230808,1933.8,1696.23,1527.48
20230809,1938.53,1702.56,1539.41
20230810,1941.98,1707.13,1548.16
20230811,1948.06,1712.63,1559.17
20230812,1952.02,1717.67,1568.97
20230813,1954.01,1720.21,1573.66
20230814,1958.53,1724.31,1581.61
20230815,1961.76,1728.56,1589.29
20230816,1964.01,1731.34,1595.5
20230817,1968.27,1734.19,1601.41
20230818,1969.97,1736.09,1606.03
20230819,1970.05,1737.56,1609.58
20230820,1970.61,1738.29,1611.37
20230821,1972.85,1739.72,1614.83
20230822,1974.17,1741.16,1618.29
20230823,1975.94,1742.16,1621.28
20230824,1976.08,1742.59,1622.94
20230825,1977.38,1742.95,1624.63
20230826,1977.47,1743.29,1625.98
20230827,1977.62,1743.57,1626.59
20230828,1979.15,1744.19,1628.23
20230829,1980.14,1745.23,1630.41
20230830,1980.62,1745.65,1631.95
20230831,1981.43,1746.07,1632.95
20230901,1983.51,1747.13,1635.25
20230902,1982.11,1747.7,1636.43
20230903,1982.61,1748.15,1637.07
20230904,1984.1,1748.95,1638.62
20230905,1985.22,1749.9,1640.25
20230906,1986.25,1750.77,1642.31
20230907,1987.17,1752.15,1644.66
20230908,1988.03,1753.64,1646.94
20230909,1987.87,1755.1,1648.81
20230910,1988.33,1756.02,1649.9
20230911,1989.93,1757.58,1652.38
20230912,1992.69,1759.4,1655.12
20230913,1994.2,1761.41,1658.12
20230914,1995.85,1763.46,1660.96
20230915,1997.74,1766.4,1664.78
20230916,1999.12,1769.09,1668.01
20230917,1998.95,1770.28,1669.35
20230918,2001.77,1772.99,1672.87
20230919,2006.11,1776.84,1677.59
20230920,2008.05,1779.75,1680.89
20230921,2009.56,1781.68,1683.28
20230922,2012.13,1783.61,1685.66
20230923,2012.62,1785.21,1687.48
20230924,2013.32,1786.26,1688.56
20230925,2015.21,1788.05,1690.88
20230926,2016.4,1789.63,1692.69
20230927,2018.36,1791.29,1694.8
20230928,2018.89,1793.26,1696.81
20230929,2019.34,1794.41,1697.71
20230930,2018.69,1794.66,1698.02
20231001,2019.24,1795.22,1698.67
20231002,2019.97,1796.17,1699.64
20231003,2019.17,1796.25,1699.92
20231004,2020.34,1796.38,1701.16
20231005,2019.95,1795.91,1701.32
20231006,2018.64,1793.82,1700.21
20231007,2017.15,1791.71,1698.57
20231008,2017.1,1790.73,1697.65
20231009,2017.36,1790.08,1697.4
20231010,2017.34,1789.18,1696.84
20231011,2015.47,1786.89,1695.51
20231012,2014.28,1784.72,1694.19
20231013,2012.81,1781.79,1692.61
20231014,2010.72,1779.47,1691.18
20231015,2010.41,1778.68,1690.63
20231016,2010.83,1777.56,1690.58
20231017,2008.78,1775.06,1689.39
20231018,2008.04,1772.84,1688.47
20231019,2007.13,1771.04,1687.55
20231020,2006.07,1769.39,1686.94
20231021,2004.41,1767.74,1686.19
20231022,2004.29,1767.17,1685.83
20231023,2004.51,1766.3,1685.87
20231024,2003.42,1764.26,1684.84
20231025,2001.93,1761.55,1683.72
20231026,1999.93,1758.33,1682.13
20231027,1997.03,1754.98,1680.56
20231028,1994.53,1752.31,1679.05
20231029,1994.26,1751.43,1678.57
20231030,1994.6,1749.83,1678.22
20231031,1992.51,1747.06,1676.81
20231101,1990.57,1742.31,1674.06
20231102,1987.93,1738.21,1671.9
20231103,1984.63,1733.97,1669.63
20231104,1981.67,1730.38,1667.34
20231105,1980.8,1728.69,1666.35
20231106,1980.49,1725.83,1665.02
20231107,1977.02,1721.01,1662.3
20231108,1973.14,1715.73,1659.13
20231109,1969.14,1709.48,1654.42
20231110,1963.87,1703.13,1649.54
20231111,1960.96,1697.77,1644.71
20231112,1959.89,1695.93,1642.9
20231113,1958.93,1691.87,1639.77
20231114,1954.23,1685.73,1634.11
20231115,1950.74,1680.63,1629.52
20231116,1946.37,1676.26,1625.31
20231117,1943.1,1672.3,1620.97
20231118,1940.07,1668.84,1617.47
20231119,1939.18,1667.51,1615.8
20231120,1938.82,1664.78,1613.14
20231121,1934.95,1659.12,1606.5
